,이름,팀,타율,안타,2루타,3루타,홈런,타점
0,에레디아,SSG,0.356,176,27,1,16,103
1,레이예스,롯데,0.350,180,35,2,14,99
2,김도영,KIA,0.346,173,29,8,35,101
3,송성문,키움,0.342,163,27,3,17,96
4,로하스,KT,0.334,178,38,1,32,109
5,구자욱,삼성,0.333,155,37,1,28,101
6,박민우,NC,0.333,141,25,2,8,48
7,도슨,키움,0.330,126,31,2,11,57
8,김혜성,키움,0.325,151,24,4,11,69
9,홍창기,LG,0.324,156,14,3,4,65
10,김선빈,KIA,0.320,129,23,0,9,55
11,허경민,두산,0.320,127,28,0,7,60
12,오스틴,LG,0.318,155,30,3,31,121
13,양의지,두산,0.316,130,16,1,16,91
14,김지찬,삼성,0.314,137,16,3,3,32
15,박찬호,KIA,0.306,146,23,1,4,57
16,강민호,삼성,0.306,119,19,1,17,75
17,소크라테스,KIA,0.306,161,29,3,24,93
18,권희동,NC,0.302,124,22,1,13,76
19,이우성,KIA,0.302,111,15,1,8,52
20,김태연,한화,0.300,117,23,0,12,61
21,안치홍,한화,0.299,132,17,0,12,59
22,데이비슨,NC,0.299,140,21,1,43,110
23,신민재,LG,0.298,111,10,6,0,40
24,고승민,롯데,0.298,127,24,3,11,69
25,나승엽,롯데,0.298,107,31,4,6,58
26,김현수,LG,0.297,143,34,2,7,64
27,나성범,KIA,0.295,109,17,1,21,80
28,윤동희,롯데,0.293,143,34,3,12,73
29,전준우,롯데,0.291,109,23,2,16,74
