,종목,코드,현재가,전일비,등락률,거래량,거래대금
0,KODEX 200¼±¹°ÀÎ¹ö½º2X,252670,"2,305",,,"101,487,736","230,653"
1,»ï¼ºÀüÀÚ,005930,"62,700",,,"19,423,745","1,229,676"
2,KODEX ÄÚ½º´Ú150¼±¹°ÀÎ¹ö½º,251340,"3,835",,,"14,554,858","55,732"
3,KODEX ÀÎ¹ö½º,114800,"4,495",,,"13,496,097","60,074"
4,KODEX ·¹¹ö¸®Áö,122630,"16,050",,,"13,396,818","216,801"
5,KODEX ÄÚ½º´Ú150·¹¹ö¸®Áö,233740,"8,325",,,"11,882,538","99,358"
6,¿µÇ³Á¦Áö,006740,"1,491",,,"11,795,899","17,823"
7,Çö´ë¾àÇ°,004310,"5,150",,,"8,389,335","44,015"
8,TIGER 200¼±¹°ÀÎ¹ö½º2X,252710,"2,445",,,"6,203,372","14,987"
9,SKÇÏÀÌ´Ð½º,000660,"147,800",,,"5,832,190","881,000"
10,¸í¹®Á¦¾à,017180,"2,520",,,"5,126,358","13,145"
11,GS±Û·Î¹ú,001250,"4,145",,,"4,951,704","20,622"
12,»ïºÎÅä°Ç,001470,601,,,"4,597,146","2,807"
13,»ï¼º ÀÎ¹ö½º 2X WTI¿øÀ¯ ¼±¹° ETN,530036,100,,,"3,556,527",356
14,KODEX ÄÚ½º´Ú150,229200,"12,365",,,"2,982,808","37,018"
15,¿¡ÀÌÇÁ·ÎÁ¨,007460,"1,453",,,"2,901,974","4,264"
16,»ï¼º ·¹¹ö¸®Áö WTI¿øÀ¯ ¼±¹° ETN,530031,"1,253",,,"2,770,240","3,475"
17,½ÅÇÑ ÀÎ¹ö½º 2X WTI¿øÀ¯ ¼±¹° ETN(H),500027,89,,,"2,521,944",222
18,KODEX 200,069500,"34,115",,,"2,443,433","83,792"
19,ÇÑÀü»ê¾÷,130660,"16,180",,,"2,314,447","37,939"
20,SG±Û·Î¹ú,001380,"3,050",,,"2,192,089","6,507"
21,SG¼¼°è¹°»ê,004060,362,,,"2,124,771",769
22,µÎ»ê¿¡³Êºô¸®Æ¼,034020,"18,580",,,"2,019,331","37,408"
23,¿¡ÀÌÇÁ·ÎÁ¨¹ÙÀÌ¿À·ÎÁ÷½º,003060,968,,,"1,989,972","1,939"
24,»çÁ¶¾¾Çªµå,014710,"6,980",,,"1,989,047","14,281"
25,TIGER ¹Ì±¹S&P500,360750,"18,745",,,"1,930,852","36,171"
26,CJ¾¾Çªµå,011150,"3,350",,,"1,884,290","6,516"
27,»ï¼ºÁß°ø¾÷,010140,"10,410",,,"1,879,734","19,541"
28,½ÅÇÑ ·¹¹ö¸®Áö WTI¿øÀ¯ ¼±¹° ETN(H),500019,893,,,"1,867,584","1,667"
