,종목,코드,현재가,전일비,등락률,거래량,거래대금
0,KODEX 200선물인버스2X,252670,"2,325",,,"116,761,945","266,061"
1,삼성전자,005930,"62,300",,,"23,350,125","1,475,190"
2,KODEX 코스닥150선물인버스,251340,"3,880",,,"20,638,994","79,268"
3,KODEX 인버스,114800,"4,515",,,"17,071,953","76,177"
4,KODEX 레버리지,122630,"15,900",,,"15,993,907","258,292"
5,KODEX 코스닥150레버리지,233740,"8,140",,,"15,672,229","130,417"
6,영풍제지,006740,"1,483",,,"13,372,520","20,180"
7,현대약품,004310,"5,020",,,"9,333,508","48,764"
8,TIGER 200선물인버스2X,252710,"2,465",,,"7,717,777","18,706"
9,SK하이닉스,000660,"145,400",,,"7,534,449","1,130,018"
10,GS글로벌,001250,"4,090",,,"5,830,732","24,232"
11,명문제약,017180,"2,520",,,"5,498,311","14,084"
12,삼부토건,001470,597,,,"4,899,339","2,987"
13,KODEX 코스닥150,229200,"12,235",,,"3,884,719","48,085"
14,삼성 인버스 2X WTI원유 선물 ETN,530036,102,,,"3,823,376",382
15,SG글로벌,001380,"3,050",,,"3,488,762","10,421"
16,에이프로젠,007460,"1,450",,,"3,399,993","4,982"
17,신한 인버스 2X WTI원유 선물 ETN(H),500027,89,,,"3,015,990",266
18,KODEX 200,069500,"33,965",,,"2,989,365","102,377"
19,삼성 레버리지 WTI원유 선물 ETN,530031,"1,249",,,"2,947,517","3,696"
20,삼성 인버스 2X 코스닥150 선물 ETN,530107,"7,050",,,"2,596,705","17,949"
21,한전산업,130660,"16,250",,,"2,551,615","41,785"
22,TIGER 미국S&P500,360750,"18,795",,,"2,482,809","46,527"
23,두산에너빌리티,034020,"18,620",,,"2,404,672","44,572"
24,에이프로젠바이오로직스,003060,965,,,"2,293,334","2,230"
25,SG세계물산,004060,361,,,"2,256,992",817
26,삼성중공업,010140,"10,380",,,"2,178,843","22,640"
27,사조씨푸드,014710,"6,820",,,"2,127,251","15,239"
28,CJ씨푸드,011150,"3,325",,,"2,050,877","7,070"
29,신한 레버리지 WTI원유 선물 ETN(H),500019,887,,,"1,942,008","1,733"
30,ACE 미국30년국채액티브(H),453850,"9,025",,,"1,873,795","16,922"
31,티웨이항공,091810,"2,990",,,"1,793,754","5,392"
32,KODEX 2차전지산업레버리지,462330,"2,375",,,"1,776,616","4,344"
33,대양금속,009190,"2,495",,,"1,728,382","4,171"
